name,kind,path,line,crate_count
LinePlan,struct,crates/arcweft-lang-syntax/src/ast/line_plan.rs,10,2
MatmulShape,struct,crates/arcweft-browser-bench/src/model.rs,82,2
MatmulShape,struct,crates/arcweft-runtime-accelerator/src/math/wgpu_backend.rs,100,2
Milli,struct,crates/arcweft-render-text/src/rich_effects.rs,12,2
Milli,struct,crates/arcweft-ui/src/style.rs,16,2
PointerButton,enum,crates/arcweft-agent-protocol/src/protocol.rs,140,2
PointerButton,enum,crates/arcweft-interaction-model/src/input.rs,89,2
PointerPosition,struct,crates/arcweft-desktop-contract/src/pointer.rs,12,2
PointerPosition,struct,crates/arcweft-interaction-model/src/input.rs,100,2
PublicId,struct,crates/arcweft-agent-protocol/src/ids.rs,12,2
PublicId,struct,crates/arcweft-id/src/lib.rs,39,2
QuestHit,struct,crates/arcweft-cli/tests/check/agent_observe_native/core.rs,454,2
QuestHit,struct,crates/arcweft-runtime-plan/src/render_text/tests.rs,645,2
ResourceAccess,struct,crates/arcweft-core/src/effect.rs,63,2
ResourceAccess,struct,crates/arcweft-lang-sema/src/fact_layer.rs,33,2
SourceAnchor,struct,crates/arcweft-debug-model/src/chunk.rs,36,2
SourceAnchor,struct,crates/arcweft-source/src/lib.rs,32,2
SourceSpan,struct,crates/arcweft-source/src/lib.rs,52,2
SourceSpan,struct,crates/arcweft-verify/src/lib.rs,44,2
StableHash,struct,crates/arcweft-adt/src/lib.rs,633,2
StableHash,struct,crates/arcweft-agent-protocol/src/ids.rs,17,2
Visibility,enum,crates/arcweft-lang-sema/src/effect_model.rs,32,2
Visibility,enum,crates/arcweft-lang-syntax/src/ast/common.rs,35,2
_compatibility_checks,type,crates/arcweft-cli/src/output.rs,512,2
_compatibility_checks,type,crates/arcweft-lang-sema/src/checker.rs,98,2
_json,type,crates/arcweft-debug-model/src/graph.rs,13,2
_json,type,crates/arcweft-debug-sqlite/src/store/raw.rs,66,2
_name,type,crates/arcweft-agent-protocol/src/proxy.rs,27,3
_name,type,crates/arcweft-render-text/src/rich_effects.rs,305,3
_name,struct,crates/arcweft-render-text/src/rich_effects.rs,321,3
_name,type,crates/arcweft-runtime-plan/src/render_text/defaults.rs,47,3
check_report,type,crates/arcweft-cli/src/app/project.rs,365,2
check_report,type,crates/arcweft-cli/src/app/runtime/profile.rs,23,2
check_report,type,crates/arcweft-compiler/src/types.rs,15,2
check_report,type,crates/arcweft-compiler/src/types.rs,29,2
check_report,type,crates/arcweft-compiler/src/types.rs,38,2
s,type,crates/arcweft-lang-sema/src/env.rs,40,2
s,type,crates/arcweft-rust-abi/src/lib.rs,20,2
