name,kind,path,line,crate_count
JsonPathSegment,enum,crates/arcweft-adapter-metadata/src/strict_json.rs,29,2
JsonPathSegment,enum,crates/arcweft-resource-manifest/src/source_map.rs,21,2
KeywordHit,struct,crates/arcweft-cli/tests/check/agent_observe_native/core.rs,252,3
KeywordHit,struct,crates/arcweft-cli/tests/check/agent_observe_native/core.rs,886,3
KeywordHit,struct,crates/arcweft-compiler/tests/evaluated_effects.rs,642,3
KeywordHit,struct,crates/arcweft-compiler/tests/evaluated_effects.rs,768,3
KeywordHit,struct,crates/arcweft-lang-sema/src/final_analysis/semantic_transcript.rs,4013,3
KeywordHit,struct,crates/arcweft-lang-sema/src/final_analysis/semantic_transcript.rs,4063,3
KeywordHit,struct,crates/arcweft-lang-sema/src/final_analysis/tests/compile_time_scalars.rs,251,3
KeywordHit,struct,crates/arcweft-lang-sema/src/final_analysis/tests/compile_time_scalars.rs,439,3
KeywordHit,struct,crates/arcweft-lang-sema/src/final_analysis/tests/text_proxy.rs,80,3
KeywordHit,struct,crates/arcweft-lang-sema/src/final_analysis/tests/text_proxy.rs,182,3
KeywordHit,struct,crates/arcweft-lang-sema/src/final_analysis/tests/text_proxy.rs,213,3
KeywordHit,struct,crates/arcweft-lang-sema/src/final_analysis/tests/text_proxy.rs,252,3
KeywordHit,struct,crates/arcweft-lang-sema/src/final_analysis/tests/text_proxy.rs,271,3
KeywordHit,struct,crates/arcweft-lang-sema/src/final_analysis/tests/text_proxy.rs,334,3
KeywordHit,struct,crates/arcweft-lang-sema/src/final_analysis/tests/text_proxy.rs,349,3
KeywordHit,struct,crates/arcweft-lang-sema/src/final_analysis/tests/text_proxy.rs,368,3
KeywordHit,struct,crates/arcweft-lang-sema/src/final_analysis/tests/text_proxy.rs,389,3
KeywordHit,struct,crates/arcweft-lang-sema/src/final_analysis/tests/text_proxy.rs,420,3
KeywordHit,struct,crates/arcweft-lang-sema/src/final_analysis/tests/text_proxy.rs,431,3
KeywordHit,struct,crates/arcweft-lang-sema/src/final_analysis/tests/text_proxy.rs,468,3
KeywordHit,struct,crates/arcweft-lang-sema/src/final_analysis/tests/text_proxy.rs,502,3
KeywordHit,struct,crates/arcweft-lang-sema/src/final_analysis/tests/text_proxy.rs,524,3
LayerTree,type,crates/arcweft-adt/src/lib.rs,1024,2
LayerTree,struct,crates/arcweft-presentation/src/layer.rs,12,2
LayoutPoint,struct,crates/arcweft-layout/src/lib.rs,17,3
LayoutPoint,struct,crates/arcweft-text-layout/src/geometry.rs,7,3
LayoutPoint,struct,crates/arcweft-view/src/layout.rs,18,3
LayoutRect,struct,crates/arcweft-layout/src/lib.rs,24,2
LayoutRect,struct,crates/arcweft-text-layout/src/geometry.rs,39,2
LayoutSize,struct,crates/arcweft-layout/src/lib.rs,10,3
LayoutSize,struct,crates/arcweft-text-layout/src/geometry.rs,23,3
LayoutSize,struct,crates/arcweft-view/src/layout.rs,11,3
MatmulShape,struct,crates/arcweft-browser-bench/src/model.rs,82,2
MatmulShape,struct,crates/arcweft-runtime-accelerator/src/math/wgpu_backend.rs,100,2
Milli,struct,crates/arcweft-lang-sema/src/checked_rich_text/value.rs,11,2
Milli,struct,crates/arcweft-text-model/src/rich_effects.rs,10,2
NativePlayerOptions,struct,crates/arcweft-cli/src/app/native_player.rs,8,2
NativePlayerOptions,struct,crates/arcweft-player-native/src/scene_windowed.rs,86,2
PointerButton,enum,crates/arcweft-agent-protocol/src/protocol.rs,149,2
PointerButton,enum,crates/arcweft-interaction-model/src/input.rs,89,2
PointerPosition,struct,crates/arcweft-desktop-contract/src/pointer.rs,12,2
PointerPosition,struct,crates/arcweft-interaction-model/src/input.rs,100,2
PublicId,struct,crates/arcweft-agent-protocol/src/ids.rs,22,2
PublicId,struct,crates/arcweft-id/src/lib.rs,54,2
ReleaseTrustCase,enum,crates/arcweft-cli/tests/support/release_trust_fixture.rs,34,2
ReleaseTrustCase,enum,crates/arcweft-project-loader/tests/support/release_trust_fixture.rs,41,2
RuntimeProjectContinuationAbi,struct,crates/arcweft-core/src/value/project_continuation.rs,23,2
RuntimeProjectContinuationAbi,struct,crates/arcweft-runtime-plan/src/semantic_facts/project_function.rs,131,2
RuntimeRecordPatternField,struct,crates/arcweft-core/src/pattern.rs,1362,2
RuntimeRecordPatternField,struct,crates/arcweft-runtime-plan/src/semantic_facts.rs,1920,2
RuntimeStandardMapFamily,enum,crates/arcweft-core/src/value.rs,1992,2
RuntimeStandardMapFamily,enum,crates/arcweft-runtime-plan/src/semantic_facts.rs,3474,2
RuntimeStandardMapOperandOrder,enum,crates/arcweft-core/src/value.rs,2002,2
RuntimeStandardMapOperandOrder,enum,crates/arcweft-runtime-plan/src/semantic_facts.rs,3493,2
Sealed,trait,crates/arcweft-lang-hir/src/identity.rs,326,2
Sealed,trait,crates/arcweft-lang-syntax/src/attachment/family.rs,34,2
Sealed,trait,crates/arcweft-lang-syntax/src/attachment/node.rs,11,2
Sealed,trait,crates/arcweft-lang-syntax/src/parser/unbound_fragment.rs,95,2
SourceAnchor,struct,crates/arcweft-debug-model/src/chunk.rs,36,2
SourceAnchor,struct,crates/arcweft-source/src/lib.rs,52,2
SourceSpan,struct,crates/arcweft-source/src/document.rs,290,2
SourceSpan,struct,crates/arcweft-verify/src/lib.rs,55,2
StableHash,struct,crates/arcweft-adt/src/lib.rs,633,2
StableHash,struct,crates/arcweft-agent-protocol/src/ids.rs,41,2
StrictJsonError,enum,crates/arcweft-adapter-metadata/src/strict_json.rs,49,2
StrictJsonError,struct,crates/arcweft-resource-manifest/src/strict_json.rs,13,2
TextAssistPolicy,enum,crates/arcweft-bundle/src/resource_codec/view/model/input.rs,73,2
TextAssistPolicy,enum,crates/arcweft-presentation/src/text_input.rs,292,2
TextCharacterBounds,struct,crates/arcweft-glyphon/src/prepared_text.rs,99,2
TextCharacterBounds,struct,crates/arcweft-presentation/src/text_input.rs,205,2
TextRange,struct,crates/arcweft-content-policy/src/types.rs,207,3
TextRange,struct,crates/arcweft-lang-syntax/src/ast/common.rs,5,3
TextRange,struct,crates/arcweft-presentation/src/text_input.rs,23,3
ViewBlendMode,enum,crates/arcweft-render-wgpu/src/view_scene/compositing.rs,264,2
ViewBlendMode,enum,crates/arcweft-view/src/style/value.rs,616,2
ViewClip,enum,crates/arcweft-render-wgpu/src/view_scene/core.rs,49,2
ViewClip,enum,crates/arcweft-view/src/style/value.rs,590,2
ViewFilter,enum,crates/arcweft-render-wgpu/src/view_scene/compositing.rs,105,2
ViewFilter,enum,crates/arcweft-view/src/style/value.rs,581,2
ViewMask,struct,crates/arcweft-render-wgpu/src/view_scene/compositing.rs,130,2
ViewMask,enum,crates/arcweft-view/src/style/value.rs,603,2
Visibility,enum,crates/arcweft-lang-sema/src/effect_model.rs,31,2
Visibility,enum,crates/arcweft-lang-syntax/src/ast/common.rs,12,2
_json,type,crates/arcweft-debug-model/src/graph.rs,13,2
_json,type,crates/arcweft-debug-sqlite/src/store/raw.rs,66,2
_methods,trait,crates/arcweft-core/src/awbc/codec.rs,47,2
_methods,trait,crates/arcweft-core/src/awbc/schema.rs,232,2
_methods,trait,crates/arcweft-core/src/plan.rs,165,2
_methods,trait,crates/arcweft-runtime-plan/src/awbc_lower/inventory.rs,95,2
_name,type,crates/arcweft-agent-protocol/src/proxy.rs,20,4
_name,type,crates/arcweft-bundle/src/lib.rs,253,4
_name,trait,crates/arcweft-core/src/plan.rs,940,4
_name,type,crates/arcweft-text-model/src/rich_effects.rs,234,4
_name,struct,crates/arcweft-text-model/src/rich_effects.rs,250,4
_nodes,type,crates/arcweft-cli/src/output.rs,389,2
_nodes,type,crates/arcweft-project/src/persistent_object/payload.rs,47,2
s,type,crates/arcweft-adapter-metadata/src/model.rs,204,6
s,enum,crates/arcweft-bundle/src/resource_codec/wire.rs,26,6
s,type,crates/arcweft-cli/src/output.rs,414,6
s,type,crates/arcweft-lang-hir/src/module.rs,114,6
s,type,crates/arcweft-lang-hir/src/source_index/item_projection.rs,67,6
s,type,crates/arcweft-lang-sema/src/checked_text_proxy/prepared.rs,370,6
s,type,crates/arcweft-lang-sema/src/final_analysis/analyzer/patterns.rs,412,6
s,type,crates/arcweft-lang-sema/src/final_analysis/input.rs,23,6
s,type,crates/arcweft-lang-sema/src/final_analysis/report.rs,814,6
s,type,crates/arcweft-lang-sema/src/final_analysis/report.rs,840,6
s,type,crates/arcweft-lang-sema/src/final_analysis/report.rs,913,6
s,type,crates/arcweft-lang-sema/src/final_analysis/validation.rs,52,6
s,type,crates/arcweft-rust-abi/src/model.rs,16,6
