path,bytes,physical_lines,code_lines,classification,is_rust,is_test,is_generated,has_embedded_tests
docs/03-presentation/layered-rendering.md,8707,405,324,text,false,false,false,false
docs/03-presentation/layers-and-input.md,18977,783,613,text,false,false,false,false
docs/03-presentation/layers.md,16139,644,513,text,false,false,false,false
docs/03-presentation/render-input-layers.md,17148,793,615,text,false,false,false,false
docs/03-presentation/rich-text-effects-transforms.md,13198,298,234,text,false,false,false,false
docs/03-presentation/text-presentation-objects.md,10435,205,175,text,false,false,false,false
docs/03-presentation/text-typesetting.md,4868,179,145,text,false,false,false,false
docs/03-presentation/touch-virtual-controller.md,6166,245,190,text,false,false,false,false
docs/03-presentation/usb-devices.md,773,24,18,text,false,false,false,false
docs/03-presentation/vector-svg.md,1459,93,75,text,false,false,false,false
docs/03-presentation/view-input-text-field.md,1332,37,27,text,false,false,false,false
docs/03-presentation/view-reactive.md,3224,148,114,text,false,false,false,false
docs/03-presentation/virtual-controller.md,860,25,19,text,false,false,false,false
docs/03-presentation/wgpu-renderer.md,1353,65,51,text,false,false,false,false
docs/03-presentation/wgsl-shaders.md,2319,110,91,text,false,false,false,false
docs/04-tooling/README.md,328,9,8,text,false,false,false,false
docs/04-tooling/agent-debug-mcp-cli.md,23767,438,403,text,false,false,false,false
docs/04-tooling/agent-observe-capture-contract.md,20891,473,399,text,false,false,false,false
docs/04-tooling/cli.md,87276,1460,1326,text,false,false,false,false
docs/04-tooling/graph-rag-jj.md,2395,141,119,text,false,false,false,false
docs/04-tooling/logging-signal-test-bench.md,4250,182,137,text,false,false,false,false
docs/04-tooling/lsp.md,13474,308,268,text,false,false,false,false
docs/04-tooling/verification.md,5633,172,142,text,false,false,false,false
docs/05-build-and-security/README.md,213,7,5,text,false,false,false,false
docs/05-build-and-security/device-generator.md,6163,287,210,text,false,false,false,false
docs/05-build-and-security/native-web-build.md,5612,145,119,text,false,false,false,false
docs/05-build-and-security/packaging.md,12312,278,249,text,false,false,false,false
docs/05-build-and-security/product-awfb-bytecode.md,1226,18,13,text,false,false,false,false
docs/05-build-and-security/security.md,6843,163,111,text,false,false,false,false
docs/README.md,4561,75,64,text,false,false,false,false
docs/design/component-text-control-layout-bounds-resource-contract-2026-07-04.md,5719,149,112,text,false,false,false,false
docs/design/cross-platform-clipboard-text-control-contract.md,15668,305,224,text,false,false,false,false
docs/design/seq-04-5-deferred-runtime-bytecode-link.md,2241,31,19,text,false,false,false,false
docs/design/seq-06.10-cross-backend-text-raster-parity.md,8060,227,174,text,false,false,false,false
docs/design/seq-06.10a-styled-paragraph-layout.md,4606,113,75,text,false,false,false,false
docs/design/seq-06.10b-styled-paragraph-raster-evidence-closure.md,4815,86,58,text,false,false,false,false
docs/design/seq-06.11a-css-computed-style-direct-paint-extractor.md,6274,179,132,text,false,false,false,false
docs/design/seq-06.11a-unsupported-css-diagnostics.md,1730,55,43,text,false,false,false,false
docs/design/seq-06.11b-frame-paint-contract.md,4413,126,93,text,false,false,false,false
docs/design/seq-06.11b-view-scene-compositor-player-path-integration.md,2520,63,51,text,false,false,false,false
docs/design/seq-06.12-css-layout-cascade-coverage.md,5516,153,117,text,false,false,false,false
docs/design/seq-06.12-css-layout-cascade-support-matrix.md,5300,48,44,text,false,false,false,false
docs/design/seq-06.13-css-motion-effects-coverage-design.md,7575,172,129,text,false,false,false,false
