path,bytes,physical_lines,code_lines,classification,is_rust,is_test,is_generated,has_embedded_tests
crates/arcweft-compiler/src/incremental.rs,5580,148,140,production,true,false,false,true
crates/arcweft-compiler/src/lib.rs,417,23,20,production,true,false,false,false
crates/arcweft-compiler/src/link.rs,5166,161,137,production,true,false,false,true
crates/arcweft-compiler/src/lower.rs,9280,237,213,production,true,false,false,false
crates/arcweft-compiler/src/object.rs,3025,108,92,production,true,false,false,true
crates/arcweft-compiler/src/parse.rs,1336,39,29,production,true,false,false,false
crates/arcweft-compiler/src/persistent.rs,52567,1390,1266,production,true,false,false,true
crates/arcweft-compiler/src/project.rs,20312,673,574,production,true,false,false,true
crates/arcweft-compiler/src/reachability.rs,6873,266,219,production,true,false,false,false
crates/arcweft-compiler/src/source.rs,1805,43,38,production,true,false,false,false
crates/arcweft-compiler/src/tests.rs,59600,2077,1915,test,true,true,false,false
crates/arcweft-compiler/src/trait_methods.rs,5395,154,144,production,true,false,false,false
crates/arcweft-compiler/src/types.rs,2461,72,58,production,true,false,false,false
crates/arcweft-compiler/tests/repl_cell.rs,793,23,22,test,true,true,false,false
crates/arcweft-compiler/tests/traits.rs,970,29,28,test,true,true,false,false
crates/arcweft-config/Cargo.toml,283,13,11,text,false,false,false,false
crates/arcweft-config/src/lib.rs,14598,464,435,production,true,false,false,false
crates/arcweft-config/tests/shape_merge.rs,6116,211,194,test,true,true,false,false
crates/arcweft-content-policy/Cargo.toml,313,15,13,text,false,false,false,false
crates/arcweft-content-policy/src/classifier.rs,6641,202,177,production,true,false,false,false
crates/arcweft-content-policy/src/engine.rs,10628,310,292,production,true,false,false,false
crates/arcweft-content-policy/src/lib.rs,1361,33,25,production,true,false,false,false
crates/arcweft-content-policy/src/model.rs,7503,223,203,production,true,false,false,false
crates/arcweft-content-policy/src/profile.rs,6112,150,142,production,true,false,false,false
crates/arcweft-content-policy/src/raster.rs,8022,280,246,production,true,false,false,false
crates/arcweft-content-policy/src/scene.rs,8542,229,213,production,true,false,false,false
crates/arcweft-content-policy/src/tests.rs,9433,298,267,test,true,true,false,false
crates/arcweft-content-policy/src/text.rs,3029,92,83,production,true,false,false,false
crates/arcweft-content-policy/src/types.rs,18079,588,495,production,true,false,false,false
crates/arcweft-core/Cargo.toml,512,24,20,text,false,false,false,false
crates/arcweft-core/src/aot.rs,11486,360,328,production,true,false,false,false
crates/arcweft-core/src/audio.rs,2918,98,94,production,true,false,false,false
crates/arcweft-core/src/awbc/codec/code.rs,31489,825,802,production,true,false,false,false
crates/arcweft-core/src/awbc/codec/metadata.rs,13136,340,315,production,true,false,false,false
crates/arcweft-core/src/awbc/codec/runtime.rs,34988,987,915,production,true,false,false,false
crates/arcweft-core/src/awbc/codec/types.rs,16134,464,436,production,true,false,false,false
crates/arcweft-core/src/awbc/codec/wire.rs,13472,471,412,production,true,false,false,false
crates/arcweft-core/src/awbc/codec.rs,6700,194,181,production,true,false,false,false
crates/arcweft-core/src/awbc/fiber.rs,38075,1070,991,production,true,false,false,false
crates/arcweft-core/src/awbc/parity.rs,8255,251,235,production,true,false,false,false
crates/arcweft-core/src/awbc/product_step/audio.rs,12162,313,294,production,true,false,false,false
